"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,1.07,0,0,3.16,3.16
1,8.07,1.31,1.93,15.77,15.77
2,14.78,9.47,10.69,18.73,18.73
3,15.47,10.23,11.74,19.47,19.47
4,16.03,11,12.35,19.75,19.75
5,17.04,11.88,13.32,20.47,20.47
6,18.77,14.46,15.42,22.13,22.13
