"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.2,0,0,0.58,0.58
1,4.59,0.1,0.18,14.37,14.37
2,16.17,10.47,11.6,20.38,20.38
3,18.38,13.7,14.71,21.84,21.84
