"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,2.1,0,0,6.61,6.61
1,12.17,5.86,6.55,18.5,18.5
2,15.77,9.43,10.54,20.56,20.56
3,17.95,12.47,13.9,21.97,21.97
