"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.77,0,0,2.1,2.1
1,2.42,1.31,1.5,3.42,3.42
2,2.93,1.73,1.87,3.98,3.98
3,3.37,2.11,2.4,4.53,4.53
4,3.91,2.4,2.71,5.22,5.22
5,4.86,3.16,3.53,6.3,6.3
6,5.9,4.11,4.36,7.43,7.43
7,7.59,5.12,5.48,9.78,9.78
8,9.22,6.65,7.21,11.35,11.35
9,11.08,7.86,8.4,14.09,14.09
10,12.97,9.73,10.34,15.77,15.77
11,17.56,12.23,13.13,21.53,21.53
