"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.94,0,0,2.93,2.93
1,7.38,0.57,1.05,15.54,15.54
2,16.81,11.36,12.77,20.41,20.41
3,19.13,15.26,16.12,22.22,22.22
