"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.18,0,0,0.54,0.54
1,3.92,0.1,0.12,12.4,12.4
2,15.86,8.89,10.29,20.46,20.46
3,18.22,13.28,14.39,21.84,21.84
