"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,1.71,0,0,5.18,5.18
1,10.5,4.46,5.25,16.18,16.18
2,14.58,9.72,10.85,18.25,18.25
3,15.29,10.65,11.81,18.91,18.91
4,15.96,11.47,12.53,19.45,19.45
5,17.19,12.75,13.89,20.72,20.72
6,18.93,14.75,15.82,22.2,22.2
