"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,1.09,0,0,3.05,3.05
1,3.74,2.76,2.92,4.64,4.64
2,4.27,3.08,3.37,5.29,5.29
3,4.87,3.51,3.84,6.05,6.05
4,5.51,4.08,4.32,6.79,6.79
5,6.15,4.53,4.83,7.58,7.58
6,7.11,5.06,5.56,8.9,8.9
7,9.09,6.22,6.63,11.74,11.74
8,11.51,8.19,8.65,14.4,14.4
9,13.38,9.38,10.28,16.56,16.56
10,14.83,10.87,11.7,18.06,18.06
11,17.94,13.13,13.97,21.54,21.54
