"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,2.14,0,0,7,7
1,12.08,4.9,6.12,17.58,17.58
2,15.54,9.32,11.31,19.86,19.86
3,18.08,12.74,14.21,21.79,21.79
