"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,2.22,0,0,7.22,7.22
1,10.56,6.03,6.68,15.09,15.09
2,12.29,6.71,7.69,16.65,16.65
3,13.26,7.62,8.66,17.8,17.8
4,14.23,8.3,9.57,18.47,18.47
5,15.68,9.71,11.42,19.88,19.88
6,18.03,12.83,13.99,21.77,21.77
