"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.32,0,0,0.9,0.9
1,0.96,0.23,0.35,1.72,1.72
2,1.28,0.32,0.54,2.19,2.19
3,1.76,0.55,0.81,2.82,2.82
4,2.56,0.99,1.26,3.93,3.93
5,3.74,1.67,2.02,5.5,5.5
6,5.09,2.72,3.12,7.09,7.09
7,7.03,3.85,4.32,9.84,9.84
8,9.1,5.71,6.24,12.21,12.21
9,11.16,6.76,7.69,15.01,15.01
10,13.15,8.56,9.66,16.74,16.74
11,17.55,11.46,13.22,21.76,21.76
