"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,1.88,0,0,5.84,5.84
1,8.02,4.16,4.89,11.35,11.35
2,10.06,5.96,6.63,14.02,14.02
3,11.87,7.13,8.07,15.92,15.92
4,13.32,8.72,9.5,17.13,17.13
5,13.97,9.44,10.12,17.55,17.55
6,14.85,10.21,11.19,18.52,18.52
7,16.17,11.78,12.8,19.52,19.52
8,17.12,12.85,13.87,20.11,20.11
9,17.77,14.03,14.87,20.77,20.77
10,18.32,14.51,15.48,21.18,21.18
11,19.39,15.88,16.41,22.12,22.12
