"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,1.45,0,0,4.43,4.43
1,8.76,1.46,2.44,16.18,16.18
2,15.19,9.28,10.81,19.48,19.48
3,18.03,12.49,14.14,21.73,21.73
