"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.18,0,0,0.5,0.5
1,0.61,0.2,0.27,1.01,1.01
2,0.93,0.4,0.47,1.49,1.49
3,1.34,0.57,0.7,2,2
4,1.79,0.9,1.03,2.63,2.63
5,2.5,1.19,1.44,3.63,3.63
6,3.34,1.89,2.2,4.59,4.59
7,4.26,2.45,2.76,5.84,5.84
8,5.46,3.36,3.71,7.22,7.22
9,7.1,4.26,4.74,9.55,9.55
10,8.9,5.89,6.44,11.67,11.67
11,17,9.04,11.05,21.76,21.76
