"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.02,0,0,0.07,0.07
1,3.67,0,0,13.53,13.53
2,16.44,10.87,12.33,20.71,20.71
3,18.64,14.16,15.37,22.07,22.07
