"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,1.71,0,0,5.25,5.25
1,10.69,4.8,5.36,16.65,16.65
2,16.65,10.95,12.63,20.82,20.82
3,18.8,14.37,15.49,22.07,22.07
