"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,1.08,0,0,3.06,3.06
1,3.7,2.28,2.54,4.92,4.92
2,4.28,2.69,3.04,5.59,5.59
3,4.81,3.04,3.47,6.24,6.24
4,5.38,3.63,3.93,6.89,6.89
5,6.08,3.99,4.6,7.88,7.88
6,7.21,4.81,5.27,9.25,9.25
7,9.1,6.15,6.63,11.78,11.78
8,11.01,7.69,8.42,13.75,13.75
9,13.04,9.37,10.08,16.15,16.15
10,14.6,10.91,11.7,17.36,17.36
11,17.92,13,14.18,21.64,21.64
