"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.42,0,0,1.18,1.18
1,5.53,0.41,0.56,14.74,14.74
2,16.6,10.9,12.55,20.79,20.79
3,18.82,14.42,15.42,22.03,22.03
