"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,1.1,0,0,3.05,3.05
1,3.6,2.62,2.83,4.41,4.41
2,3.9,2.81,3.1,4.84,4.84
3,4.32,3.19,3.38,5.34,5.34
4,4.97,3.57,3.83,6.22,6.22
5,5.74,4.22,4.46,7.05,7.05
6,6.37,4.68,5,7.86,7.86
7,7.67,5.23,5.71,9.78,9.78
8,9.7,6.65,7.31,12.26,12.26
9,12.21,8.34,9.01,15.42,15.42
10,13.94,10.19,10.92,17.14,17.14
11,17.7,12.39,13.54,21.56,21.56
