"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.4,0,0,1.1,1.1
1,5.47,0.55,0.56,14.27,14.27
2,14.77,9.62,10.55,19.06,19.06
3,15.43,10.42,11.55,19.52,19.52
4,15.83,11.04,12,19.8,19.8
5,16.7,12.02,13.05,20.44,20.44
6,18.55,14.28,15.2,22.09,22.09
