"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,2.02,0,0,6.37,6.37
1,7.84,2.89,3.94,11.85,11.85
2,9.31,4.23,5.09,13.47,13.47
3,10.89,5.69,6.76,14.95,14.95
4,12.05,6.81,8.13,16.03,16.03
5,13.41,8.28,9.59,16.93,16.93
6,14.69,9.68,11.34,18.08,18.08
7,15.83,11.5,12.7,19.02,19.02
8,16.77,12.71,13.65,19.62,19.62
9,17.65,13.86,14.85,20.59,20.59
10,18.4,14.88,15.82,21.11,21.11
11,19.54,15.96,16.77,22.26,22.26
