"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.94,0,0,2.91,2.91
1,7.22,0.77,1.07,15.3,15.3
2,14.72,9.9,11.15,18.36,18.36
3,15.65,10.82,12.21,19.11,19.11
4,16.32,11.61,13.16,19.7,19.7
5,17.48,13.18,14.29,20.77,20.77
6,19.22,15.41,16.24,22.24,22.24
