"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.22,0,0,0.6,0.6
1,0.77,0.26,0.34,1.3,1.3
2,1.05,0.47,0.55,1.64,1.64
3,1.33,0.55,0.66,2,2
4,2.04,0.93,1.1,3.17,3.17
5,2.85,1.53,1.73,4.04,4.04
6,3.93,1.97,2.34,5.74,5.74
7,5.59,3.14,3.64,7.63,7.63
8,6.88,4.24,4.71,9.19,9.19
9,8.07,5.08,5.56,10.83,10.83
10,9.3,5.83,6.4,12.36,12.36
11,17.04,9.07,11.68,22.07,22.07
