"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,2.11,0,0,6.65,6.65
1,11.72,5.4,6.26,17.56,17.56
2,14.25,7.56,9.28,19.52,19.52
3,14.68,8.14,9.56,19.42,19.42
4,15.04,8.6,10.15,19.95,19.95
5,16.05,9.6,11.45,20.56,20.56
6,18.04,12.57,13.97,21.99,21.99
