"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.02,0,0,0.07,0.07
1,3.53,0,0,12.86,12.86
2,14.6,10.11,11.05,18.72,18.72
3,15.44,10.67,11.72,19.21,19.21
4,16.04,11.47,12.54,19.64,19.64
5,17.02,12.61,13.49,20.32,20.32
6,18.77,14.85,15.61,22.04,22.04
