"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.89,0,0,2.5,2.5
1,6.26,1.5,1.69,13.89,13.89
2,15.72,8.92,10.4,20.63,20.63
3,18.24,13.27,14.36,21.83,21.83
