"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,1.06,0,0,3.15,3.15
1,8.34,1.63,1.96,16.63,16.63
2,16.49,10.9,12.41,20.61,20.61
3,18.68,14.41,15.15,21.82,21.82
