"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,1.47,0,0,4.43,4.43
1,7.5,2.17,2.97,13.92,13.92
2,11.82,5.14,6.12,17.54,17.54
3,13.01,5.94,7.36,18.37,18.37
4,14.18,7.04,8.61,19.14,19.14
5,15.56,8.56,10.43,19.97,19.97
6,17.92,12.25,13.83,22,22
