"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,2.23,0,0,7.21,7.21
1,10.84,5.73,6.46,16,16
2,14.95,8.08,9.58,19.73,19.73
3,17.97,12.57,14.02,21.88,21.88
