ord_stage,point_est,lower99,lower95,upper95,upper99
0,0.04,0,0,0.15,0.15
1,3.58,0,0,11.47,11.47
2,12.65,8.6,9.17,16.56,16.56
3,13.56,9.27,9.88,17.63,17.63
4,14.38,10.04,10.72,18.36,18.36
5,15.49,10.89,11.67,19.84,19.84
6,18.22,13.25,14.41,22.86,22.86
