ord_stage,point_est,lower99,lower95,upper95,upper99
0,0.04,0,0,0.16,0.16
1,4.89,0,0,13.08,13.08
2,13.9,10.13,10.91,17.44,17.44
3,14.79,10.98,11.66,18.22,18.22
4,15.45,11.72,12.35,18.79,18.79
5,16.53,12.53,13.3,19.89,19.89
6,18.73,14.78,15.53,22.42,22.42
