"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.2,0,0,0.56,0.56
1,0.6,0.13,0.2,1.04,1.04
2,0.98,0.38,0.46,1.59,1.59
3,1.44,0.72,0.82,2.15,2.15
4,1.96,1.08,1.19,2.81,2.81
5,2.6,1.47,1.65,3.61,3.61
6,3.28,1.97,2.2,4.51,4.51
7,4.39,2.57,2.88,6.13,6.13
8,5.72,3.65,4.06,7.63,7.63
9,7.27,4.53,4.81,10.03,10.03
10,8.97,5.88,6.24,12.76,12.76
11,16.96,8.7,11,22.11,22.11
