"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.32,0,0,0.9,0.9
1,0.91,0.24,0.36,1.61,1.61
2,1.14,0.38,0.51,1.91,1.91
3,1.56,0.54,0.66,2.45,2.45
4,2.33,0.91,1.17,3.56,3.56
5,3.32,1.54,1.96,4.83,4.83
6,4.59,2.51,2.77,6.45,6.45
7,6.53,3.8,4.25,9.03,9.03
8,8.34,5.23,5.84,11.03,11.03
9,10.28,6.35,7.15,13.66,13.66
10,12.53,8.48,9.37,15.97,15.97
11,17.5,11.55,12.96,21.57,21.57
