"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.05,0,0,0.17,0.17
1,3.44,0,0,12.22,12.22
2,14.25,9.45,10.25,18.31,18.31
3,15.19,10.56,11.41,19.04,19.04
4,15.85,11.32,12.23,19.38,19.38
5,16.85,12.4,13.46,20.38,20.38
6,18.68,14.45,15.36,21.94,21.94
