"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.28,0,0,0.75,0.75
1,0.86,0.35,0.41,1.32,1.32
2,1.11,0.5,0.61,1.72,1.72
3,1.45,0.66,0.79,2.17,2.17
4,2.15,0.98,1.14,3.25,3.25
5,3.05,1.65,1.91,4.38,4.38
6,4.08,2.17,2.41,5.76,5.76
7,5.48,3.12,3.62,7.54,7.54
8,6.86,4.24,4.53,9.17,9.17
9,8.27,5,5.69,11.28,11.28
10,9.93,5.96,6.67,13.44,13.44
11,17.16,9.87,11.82,21.9,21.9
