"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.18,0,0,0.53,0.53
1,3.71,0.06,0.05,11.14,11.14
2,13.65,7.99,8.72,18.56,18.56
3,14.61,8.62,9.92,19.34,19.34
4,15.37,9.69,10.72,19.79,19.79
5,16.54,11.16,12.32,20.52,20.52
6,18.35,13.56,14.72,21.93,21.93
