"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.4,0,0,1.1,1.1
1,5.69,0.53,0.65,15.38,15.38
2,16.22,10.55,11.72,20.25,20.25
3,18.43,13.81,14.9,21.97,21.97
