"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.42,0,0,1.21,1.21
1,5.37,0.43,0.51,13.97,13.97
2,14.49,9.58,10.74,18.2,18.2
3,15.32,10.46,11.71,19.02,19.02
4,16.01,11.56,12.57,19.49,19.49
5,17.2,12.78,13.83,20.72,20.72
6,18.95,14.71,15.59,22.02,22.02
