"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.2,0,0,0.58,0.58
1,4.44,0.11,0.17,13.33,13.33
2,14.51,9.29,10.03,18.84,18.84
3,15.23,10.03,11.08,19.48,19.48
4,15.96,10.63,12.02,20.07,20.07
5,16.8,12,12.98,20.45,20.45
6,18.47,14.01,14.97,21.84,21.84
