"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.43,0,0,1.23,1.23
1,1.29,0.41,0.55,2.13,2.13
2,1.66,0.56,0.79,2.65,2.65
3,2.18,0.83,1.13,3.36,3.36
4,2.72,1.25,1.48,3.96,3.96
5,3.28,1.65,1.92,4.74,4.74
6,4.48,2.19,2.55,6.46,6.46
7,6.16,3.55,4.03,8.36,8.36
8,7.49,4.54,5.2,10.21,10.21
9,8.96,5.38,6.06,11.93,11.93
10,10.62,6.49,7.48,14.25,14.25
11,17.23,10.37,12.33,21.84,21.84
