"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.42,0,0,1.21,1.21
1,5.53,0.41,0.56,14.59,14.59
2,16.6,10.77,12.29,20.56,20.56
3,18.82,14.48,15.47,22.06,22.06
