"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,1.02,0,0,2.96,2.96
1,3.21,1.24,1.7,4.92,4.92
2,3.67,1.53,2.14,5.43,5.43
3,4.21,2.09,2.41,5.88,5.88
4,4.81,2.73,3.1,6.59,6.59
5,5.63,3.22,3.8,7.66,7.66
6,6.51,4.15,4.59,8.5,8.5
7,7.88,4.89,5.6,10.53,10.53
8,9.73,6.6,7.23,12.38,12.38
9,12.12,8.21,8.94,15.43,15.43
10,13.82,10.34,10.92,16.59,16.59
11,17.7,12.85,13.74,21.63,21.63
