"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.05,0,0,0.16,0.16
1,3.59,0,0,13.05,13.05
2,16.24,10.58,11.85,20.45,20.45
3,18.54,14.13,15.04,22.03,22.03
