"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,0.8,0,0,2.21,2.21
1,2.53,1.36,1.58,3.58,3.58
2,3.09,1.71,2.05,4.3,4.3
3,3.63,2.3,2.48,4.76,4.76
4,4.08,2.67,2.89,5.37,5.37
5,4.9,3.18,3.52,6.42,6.42
6,5.89,4.05,4.44,7.55,7.55
7,7.35,4.87,5.36,9.44,9.44
8,9.19,6.57,7.1,11.51,11.51
9,11.19,7.86,8.54,14.26,14.26
10,12.97,9.63,10.27,15.9,15.9
11,17.56,11.93,13.28,21.62,21.62
