"ord_stage","point_est","lower99","lower95","upper95","upper99"
0,3.31,0,0,12.07,12.07
1,14.75,11.04,11.71,17.59,17.59
2,17.15,13.16,13.87,20.2,20.2
3,19.29,15.89,16.49,22.16,22.16
