ord_stage,point_est,lower99,lower95,upper95,upper99
0,1.05,0,0,3.05,3.05
1,8.57,1.3,1.89,15.11,15.11
2,14.51,10.54,11.42,17.72,17.72
3,15.38,11.39,12.18,18.47,18.47
4,16.06,12.2,13.02,19.14,19.14
5,17.23,12.98,14.08,20.48,20.48
6,19.38,15.67,16.51,22.63,22.63
